GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
summit-bootcamp,com.ciandt.summit.bootcamp2022.controller,MusicController,5,14,1,1,1,4,1,2,0,2
summit-bootcamp,com.ciandt.summit.bootcamp2022.controller,PlaylistController,10,23,0,0,2,5,1,4,1,4
summit-bootcamp,com.ciandt.summit.bootcamp2022.config.interceptor,InterceptorReqBody,13,0,0,0,4,0,2,0,2,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.config.interceptor,Interceptor,69,10,6,0,18,3,4,2,1,2
summit-bootcamp,com.ciandt.summit.bootcamp2022.config.interceptor,InterceptorReqBody.Data,15,0,0,0,6,0,3,0,3,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,InvalidIdException,0,4,0,0,0,2,0,1,0,1
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,UnauthorizedRequestException,4,0,0,0,2,0,1,0,1,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,ExceptionResponseMessage,7,27,0,0,3,10,2,5,2,5
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,MusicLimitReachedException,4,0,0,0,2,0,1,0,1,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,MusicNotFoundException,4,0,0,0,2,0,1,0,1,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,InvalidFilterException,0,4,0,0,0,2,0,1,0,1
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,EmptyListException,0,4,0,0,0,2,0,1,0,1
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,AppExceptionHandler,202,23,0,0,50,5,10,2,10,2
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,ExceptionResponseMessage.ExceptionResponseMessageBuilder,45,0,0,0,12,0,7,0,7,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,PayloadInvalidException,4,0,0,0,2,0,1,0,1,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.exception,PlaylistNotFoundException,0,4,0,0,0,2,0,1,0,1
summit-bootcamp,com.ciandt.summit.bootcamp2022.DTO,ObjectDTO,4,20,0,0,1,9,1,5,1,5
summit-bootcamp,com.ciandt.summit.bootcamp2022.DTO,ObjectDTO.ObjectDTOBuilder,4,14,0,0,1,5,1,3,1,3
summit-bootcamp,com.ciandt.summit.bootcamp2022.entity,Artist,28,38,7,3,4,14,7,7,2,7
summit-bootcamp,com.ciandt.summit.bootcamp2022.entity,Music,30,48,7,3,4,18,7,9,2,9
summit-bootcamp,com.ciandt.summit.bootcamp2022.entity,Playlist,48,41,7,3,7,12,9,5,4,5
summit-bootcamp,com.ciandt.summit.bootcamp2022.config,CacheConfiguration,4,12,0,0,2,4,2,3,2,3
summit-bootcamp,com.ciandt.summit.bootcamp2022.config,SecurityConfig,0,65,0,0,0,10,0,3,0,3
summit-bootcamp,com.ciandt.summit.bootcamp2022.config,DbConfig,24,75,3,3,3,18,3,4,0,4
summit-bootcamp,com.ciandt.summit.bootcamp2022.config,SwaggerConfig,0,40,0,0,0,15,0,3,0,3
summit-bootcamp,com.ciandt.summit.bootcamp2022.config,SqliteConfig,0,3,0,0,0,1,0,1,0,1
summit-bootcamp,com.ciandt.summit.bootcamp2022.config,CacheConfiguration.new ConcurrentMapCacheManager() {...},14,6,0,0,2,1,1,1,1,1
summit-bootcamp,com.ciandt.summit.bootcamp2022.config,SqlDialect,195,0,2,0,52,0,25,0,24,0
summit-bootcamp,com.ciandt.summit.bootcamp2022.service,MusicService,8,79,0,4,0,22,1,7,1,5
summit-bootcamp,com.ciandt.summit.bootcamp2022.service,PlaylistService,238,35,19,3,52,10,16,7,6,6
summit-bootcamp,com.ciandt.summit.bootcamp2022,SummitBootcampApplication,5,3,0,0,2,1,1,1,1,1
